,IP,Traceroute,TTL,Latency,Delay
141,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.194, 25.849, 26.517, 26.547, 27.59]"
142,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[28.719, 28.715, 28.712, 28.708, 29.63]"
143,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.623, 26.397, 61.095, 27.205, 28.03]"
144,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.5,"[25.102, 26.063, 26.229, 26.583, 27.63]"
145,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.534, 28.257, 26.812, 26.808, 27.85]"
146,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[24.893, 25.868, 26.558, 26.648, 27.65]"
147,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[26.862, 26.394, 34.803, 26.793, 27.5]"
148,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.435, 26.191, 26.677, 26.848, 27.79]"
149,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[28.286, 26.335, 26.454, 26.803, 27.93]"
150,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.492, 25.969, 26.195, 26.788, 27.59]"
151,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.377, 25.92, 26.221, 26.604, 27.58]"
152,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.63, 26.439, 26.699, 27.172, 28.09]"
153,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.694, 26.711, 26.763, 27.175, 28.12]"
154,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.179, 25.938, 26.382, 26.704, 27.61]"
155,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.22, 25.865, 26.433, 26.684, 27.6]"
156,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,69.5,"[25.376, 26.218, 26.604, 26.82, 28.04]"
157,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.337, 26.37, 26.582, 27.012, 27.84]"
158,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[26.98, 26.112, 26.279, 26.971, 27.52]"
159,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[33.198, 26.383, 26.482, 26.813, 27.63]"
160,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.558, 26.165, 26.544, 27.117, 27.81]"
161,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.393, 35.403, 26.709, 27.13, 27.73]"
162,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.484, 26.168, 26.419, 26.852, 27.68]"
163,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.477, 26.033, 26.357, 27.01, 27.58]"
164,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.1,"[25.363, 27.647, 26.687, 27.417, 29.38]"
165,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.573, 26.253, 27.086, 27.381, 28.14]"
166,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.409, 25.794, 26.512, 26.906, 27.61]"
167,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.3,"[26.219, 26.292, 26.313, 26.885, 27.76]"
168,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.609, 26.425, 27.211, 27.336, 28.14]"
169,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.384, 25.957, 26.403, 27.067, 27.71]"
170,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.62, 27.143, 26.775, 27.561, 28.33]"
171,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[26.705, 26.701, 26.86, 27.464, 28.15]"
