,IP,Traceroute,TTL,Latency,Delay
118,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[1.039, 1.251, 44.416, 44.367, 119.099]"
119,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[4.637, 1.5, 62.82, 44.37, 119.213]"
120,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[29.216, 5.098, 44.327, 44.363, 119.877]"
121,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[4.123, 1.567, 44.36, 44.307, 119.339]"
122,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.005, 2.049, 44.31, 44.359, 119.47]"
123,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.02, 1.444, 44.239, 44.275, 119.04]"
124,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[2.13, 23.024, 44.424, 44.545, 119.436]"
125,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.375, 1.308, 44.48, 44.477, 118.714]"
126,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[1.601, 20.537, 44.191, 44.233, 119.626]"
127,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.918, 7.669, 44.229, 44.279, 119.15]"
128,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[0.869, 1.564, 44.185, 44.227, 118.529]"
129,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[8.254, 1.356, 44.302, 44.339, 118.454]"
130,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[0.948, 1.48, 44.29, 44.322, 119.39]"
131,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.231, 1.371, 44.15, 44.175, 118.255]"
132,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.913, 1.365, 44.158, 44.195, 119.66]"
133,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[2.242, 4.21, 44.234, 44.31, 117.82]"
134,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.968, 29.972, 44.258, 44.289, 119.352]"
135,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.769, 1.266, 44.176, 44.222, 118.46]"
136,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.13, 1.599, 44.331, 44.369, 118.239]"
137,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[6.105, 1.341, 44.244, 44.273, 119.748]"
138,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.07, 1.16, 44.22, 44.25, 119.564]"
139,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.002, 1.334, 44.263, 44.209, 119.375]"
140,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[5.754, 1.624, 44.241, 44.276, 117.779]"
141,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.988, 1.284, 44.397, 44.358, 119.004]"
142,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.916, 1.34, 44.236, 43.976, 119.248]"
143,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.968, 1.462, 44.209, 44.247, 119.172]"
144,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.051, 1.26, 44.126, 44.161, 119.424]"
145,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.397, 1.527, 44.208, 44.239, 118.312]"
146,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.494, 1.407, 44.135, 44.166, 119.616]"
