,IP,Traceroute,TTL,Latency,Delay
136,136.36.203.65,"[[4, 7, 18], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.2,"[1.077, 1.323, 1.935, 20.203, 20.198]"
137,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.249, 1.26, 1.359, 20.285, 20.281]"
138,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.48, 1.383, 1.266, 20.101, 20.381]"
139,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.316, 1.394, 1.25, 20.186, 20.234]"
140,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.2,"[1.57, 1.387, 1.287, 20.232, 20.28]"
141,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.237, 1.234, 1.641, 20.208, 20.326]"
142,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.171, 1.581, 1.996, 20.256, 20.963]"
143,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.546, 1.152, 1.279, 20.228, 20.36]"
144,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.363, 1.491, 1.389, 20.322, 20.427]"
145,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.573, 1.324, 1.363, 20.175, 20.276]"
